"Codi","Nom","Codi comarca","Nom comarca","UTM X","UTM Y","Longitud","Latitud","Georeferència"
"250707","Castellserà","38","Urgell","332,622.0503","4,623,627.459","0.986964286","41.74684408","POINT (0.986964286 41.74684408)"
"171693","Sant Julià de Ramis","20","Gironès","486,705.5168","4,653,636.337","2.839385619","42.03465426","POINT (2.839385619 42.03465426)"
"431303","Rocafort de Queralt","16","Conca de Barberà","356,472.0375","4,593,197.021","1.280961476","41.47753985","POINT (1.280961476 41.47753985)"
"431652","Vilabella","01","Alt Camp","360,065.2909","4,567,494.449","1.329909008","41.2467535","POINT (1.329909008 41.2467535)"
"082166","Sant Jaume de Frontanyà","14","Berguedà","419,528.714","4,670,933.753","2.025486574","42.18641639","POINT (2.025486574 42.18641639)"
"171169","Osor","34","Selva","463,215.1306","4,643,831.897","2.556211062","41.94560349","POINT (2.556211062 41.94560349)"
"430038","Albiol, l'","08","Baix Camp","339,944.7266","4,568,502.908","1.089629618","41.25209985","POINT (1.089629618 41.25209985)"
"170078","Amer","34","Selva","467,144.4655","4,650,866.481","2.603222047","42.00913383","POINT (2.603222047 42.00913383)"
"082107","Sant Feliu de Codines","41","Vallès Oriental","430,473.481","4,615,575.254","2.164546597","41.68891823","POINT (2.164546597 41.68891823)"
"080076","Arenys de Munt","21","Maresme","461,603.122","4,606,684.454","2.53916522","41.61094994","POINT (2.53916522 41.61094994)"
"081430","Òdena","06","Anoia","386,808.3065","4,607,005.824","1.641588518","41.60674209","POINT (1.641588518 41.60674209)"
"082652","Sant Vicenç de Torelló","24","Osona","439,934.4697","4,656,981.696","2.274015277","42.06260072","POINT (2.274015277 42.06260072)"
"431704","Vila-rodona","01","Alt Camp","362,580.6934","4,574,571.156","1.358321566","41.31090434","POINT (1.358321566 41.31090434)"
"431747","Vilella Baixa, la","29","Priorat","312,391.6352","4,565,656.954","0.761861618","41.22055919","POINT (0.761861618 41.22055919)"
"172272","Vilamaniscle","02","Alt Empordà","505,581.8022","4,691,470.252","3.067798773","42.37549187","POINT (3.067798773 42.37549187)"
"082439","Santa Cecília de Voltregà","24","Osona","435,585.3732","4,649,271.718","2.222301046","41.99282173","POINT (2.222301046 41.99282173)"
"081770","Quar, la","14","Berguedà","414,101.4472","4,659,278.896","1.96148824","42.08088762","POINT (1.96148824 42.08088762)"
"430461","Conesa","16","Conca de Barberà","357,424.8922","4,597,739.231","1.291294091","41.51860535","POINT (1.291294091 41.51860535)"
"431068","Pinell de Brai, el","37","Terra Alta","291,112.6845","4,543,706.696","0.51568904","41.01780503","POINT (0.51568904 41.01780503)"
"172116","Verges","10","Baix Empordà","503,861.5654","4,656,487.211","3.046671526","42.06043381","POINT (3.046671526 42.06043381)"
"430385","Cambrils","08","Baix Camp","336,829.3523","4,548,459.881","1.057802277","41.07103393","POINT (1.057802277 41.07103393)"
"170046","Albons","10","Baix Empordà","507,044.6072","4,661,354.194","3.085200894","42.10424634","POINT (3.085200894 42.10424634)"
"250371","Avellanes i Santa Linya, les","23","Noguera","314,573.3081","4,641,990.877","0.764299568","41.90810962","POINT (0.764299568 41.90810962)"
"171194","Palau de Santa Eulàlia","02","Alt Empordà","497,056.6499","4,669,045.282","2.964362863","42.17354183","POINT (2.964362863 42.17354183)"
"081379","Montseny","41","Vallès Oriental","449,736.2287","4,623,212.57","2.395354738","41.75915399","POINT (2.395354738 41.75915399)"
"172207","Viladrau","24","Osona","449,356.303","4,633,045.588","2.38994519","41.84769059","POINT (2.38994519 41.84769059)"
"251706","Bellaguarda","18","Garrigues","310,752.6664","4,578,611.74","0.738299645","41.33678081","POINT (0.738299645 41.33678081)"
"082845","Tordera","21","Maresme","476,599.1875","4,616,398.356","2.718763122","41.69902461","POINT (2.718763122 41.69902461)"
